group,names,scores,logfoldchanges,pvals,pvals_adj
0,RPLP1,11.351921,,7.255118698034824e-30,1.0804008085266317e-27
0,RPL4,11.339673,,8.345530703000097e-30,1.2279852320128714e-27
0,RPS26,11.185188,,4.8188345144557174e-29,6.925673790543334e-27
0,RPL35,10.745081,,6.250702426096028e-27,8.68075078500527e-25
0,RPL24,10.724769,,7.788194559108723e-27,1.0695787194509313e-24
0,RPS21,10.560226,,4.55562958994173e-26,6.0545786808257825e-24
0,CCR7,10.392647,,2.6781555408441986e-25,3.4125775757561126e-23
0,RPL17,10.310002,,6.349969373603801e-25,8.008736883443162e-23
0,BTG1,10.15009,,3.3105692437896376e-24,4.0513500844792e-22
0,RPS8,10.066649,,7.757607734807262e-24,9.400395255119386e-22
0,GIMAP7,9.876468,,5.265660604703115e-23,6.19843476896481e-21
0,RPL37A,9.838132,,7.712944525911117e-23,8.993584371722773e-21
0,RPL37,9.758077,,1.7035547823160113e-22,1.949623806428324e-20
0,HINT1,9.606877,,7.478284619524276e-22,8.327170981740546e-20
0,CD27,9.484901,,2.426119626064669e-21,2.677396301621367e-19
0,HSPA8,9.265894,,1.9345058221241894e-20,2.0791732140395634e-18
0,RPL7A,9.203412,,3.467591889083304e-20,3.6321555719550546e-18
0,RGCC,9.188626,,3.97891164720906e-20,4.132718315924704e-18
0,PIK3IP1,9.180262,,4.300440614688935e-20,4.429453833129604e-18
0,EEF1B2,9.165874,,4.914715556199735e-20,4.979170842182682e-18
0,CD2,9.11793,,7.657281142999335e-20,7.694633733940794e-18
0,RPL7,9.038173,,1.5931191918794637e-19,1.5879800977121104e-17
0,ZFP36L2,9.034937,,1.6409686385239572e-19,1.622589789772489e-17
0,RPL12,9.02269,,1.8352680127764575e-19,1.8003105268188107e-17
0,C6orf48,9.011089,,2.0401921712263088e-19,1.985572853256471e-17
0,RPL28,8.991474,,2.4393661593876856e-19,2.3555129476587338e-17
0,GLTSCR2,8.983359,,2.6262417023814176e-19,2.5163060032119633e-17
0,AES,8.942335,,3.8103123494281776e-19,3.622727741456329e-17
0,LCK,8.767039,,1.834256470105669e-18,1.679363701518968e-16
0,AQP3,8.698882,,3.3516820035739204e-18,3.001941272766207e-16
0,RPL18A,8.650939,,5.107750137978387e-18,4.5094136932437755e-16
0,RPSAP58,8.646558,,5.307624506503684e-18,4.652641056764931e-16
0,RPL6,8.542655,,1.311730898952662e-17,1.1337757979758673e-15
